"region","year","sat_rate","unsat_rate","avg_score","suicide_계","suicide_남자","suicide_여자"
"강원",2020,45.8,11.9,3.453,33.2,45.6,20.7
"강원",2021,37.5,19,3.27,32.7,45.4,19.9
"강원",2022,45.6,14.1,3.432,33.1,47.5,18.5
"강원",2023,47.1,12.5,3.466,34.7,50.7,18.6
"강원",2024,42.2,10.2,3.427,34.3,52.3,16.2
"경기",2020,44.3,12.4,3.445,23.7,32.3,14.9
"경기",2021,33.3,25.7,3.124,23.6,31.3,15.7
"경기",2022,42.6,14.5,3.378,23.1,31.4,14.6
"경기",2023,41.3,15.6,3.342,25.1,35.1,15.1
"경기",2024,35.7,13,3.31,28.2,39.5,16.7
"경남",2020,45.9,11.1,3.476,25.3,36.3,14.3
"경남",2021,32.3,22.2,3.138,26.3,37.6,14.9
"경남",2022,42.9,14,3.371,26.7,39.7,13.6
"경남",2023,44.4,12.1,3.409,28.5,39.3,17.6
"경남",2024,42.9,11.8,3.397,28.5,40.8,16
"경북",2020,34.4,13.1,3.293,28.6,37.8,19.3
"경북",2021,27.5,25.6,3.048,29,40.8,17.1
"경북",2022,43.8,13.8,3.395,26.8,38.8,14.7
"경북",2023,38.1,14.7,3.306,30.5,44.2,16.6
"경북",2024,40.9,12.9,3.35,31.6,46.6,16.3
"광주",2020,43.4,10.3,3.464,22.6,31.1,14.2
"광주",2021,38.1,19.5,3.25,26.4,38,15.1
"광주",2022,46.2,12.9,3.453,25,37.3,13
"광주",2023,43,12.7,3.389,27.3,39.5,15.4
"광주",2024,40.7,10.8,3.415,29.9,44.2,16
"대구",2020,33.2,15.8,3.253,26.1,35.8,16.6
"대구",2021,31,23.1,3.141,26.3,38.2,14.7
"대구",2022,41.2,15,3.354,27,39.1,15.2
"대구",2023,37.6,17.3,3.287,28.1,39.1,17.4
"대구",2024,36.1,21.4,3.217,29.4,40.2,19
"대전",2020,41.3,12.6,3.411,27.2,37.9,16.5
"대전",2021,39.7,21.6,3.234,29.3,39.8,18.8
"대전",2022,51.3,11.5,3.516,25.7,33.1,18.4
"대전",2023,49,11.8,3.495,26.4,35,17.9
"대전",2024,47.2,9.6,3.521,31.2,41.7,20.8
"부산",2020,40.1,13.8,3.373,27.4,38.8,16.4
"부산",2021,31.1,22.5,3.095,27.7,37.9,17.9
"부산",2022,41,15.2,3.336,27.3,39.1,16
"부산",2023,40.5,15.3,3.324,29.1,42.7,16.2
"부산",2024,37.5,15,3.316,30.3,42.7,18.5
"서울",2020,46.4,13.2,3.462,22.7,30.3,15.4
"서울",2021,34.1,23.6,3.143,22.6,30.5,15
"서울",2022,43.2,14.9,3.371,21.4,28.9,14.4
"서울",2023,41.9,14.9,3.356,23.2,31.2,15.6
"서울",2024,46.3,11.9,3.442,24.1,33.9,14.9
"세종",2020,58.7,8.4,3.742,18.4,18.5,18.4
"세종",2021,46.1,19.1,3.389,19,24.3,13.8
"세종",2022,52.8,10.7,3.586,23.3,34,12.7
"세종",2023,53.3,11.5,3.552,20,22.5,17.6
"세종",2024,42.8,20.8,3.351,23,29,16.9
"울산",2020,40.7,10.8,3.397,26.4,36.7,15.6
"울산",2021,36.5,23.9,3.202,28.5,40.7,15.5
"울산",2022,41.6,16.8,3.341,26.3,36.1,16.1
"울산",2023,41.4,17.2,3.32,32.7,46.8,17.9
"울산",2024,40.6,9.8,3.425,29.2,41.1,16.7
"인천",2020,42.4,12.5,3.415,26.5,37,15.9
"인천",2021,31.1,23,3.127,25.9,34.5,17.3
"인천",2022,39.3,15,3.327,25.8,35,16.6
"인천",2023,39.8,13.9,3.347,28.8,40.8,16.8
"인천",2024,28,13.8,3.218,31.2,45.9,16.6
"전국",2020,42.7,12.5,3.423,25.7,35.5,15.9
"전국",2021,34,22.9,3.161,26,35.9,16.2
"전국",2022,43.3,14.1,3.388,25.2,35.3,15.1
"전국",2023,42.2,14.5,3.366,27.3,38.3,16.5
"전국",2024,40.1,12.7,3.367,29.1,41.8,16.6
"전남",2020,40.9,9.7,3.436,28.5,41.3,15.6
"전남",2021,37.5,18.1,3.272,30.2,42.7,17.6
"전남",2022,44.7,13.7,3.409,26.6,38.7,14.5
"전남",2023,42,11.3,3.42,29.2,40.9,17.4
"전남",2024,40.2,14.4,3.343,34.5,53.6,15.1
"전북",2020,41.1,12.3,3.392,27.8,41.7,14
"전북",2021,38.2,18.9,3.266,28.5,42.5,14.6
"전북",2022,43.8,12.6,3.394,26.1,38.5,13.8
"전북",2023,47.1,15.3,3.394,25.6,37.4,13.8
"전북",2024,44.8,14.1,3.38,32.3,45.7,19
"제주",2020,47.9,10.6,3.508,30,42.6,17.2
"제주",2021,38.5,19.8,3.284,26.1,41,11.1
"제주",2022,48.2,11.2,3.5,26,41.8,10.1
"제주",2023,44.7,12.3,3.419,30.5,45.4,15.5
"제주",2024,43.4,10.2,3.442,36.3,55.3,17.3
"충남",2020,36.8,10.3,3.369,34.7,47.9,21
"충남",2021,40.2,18.1,3.317,32.2,45,18.8
"충남",2022,47.5,9.4,3.516,33.2,48.3,17.3
"충남",2023,45.1,11.7,3.465,36.5,50,22.2
"충남",2024,47,6.2,3.555,34.8,51.1,17.6
"충북",2020,40.5,12.8,3.38,27.1,38.5,15.4
"충북",2021,35.5,18.2,3.246,31.8,44.5,18.7
"충북",2022,42.6,14.2,3.372,29,38.3,19.4
"충북",2023,45.3,14.8,3.408,33.3,45.3,20.8
"충북",2024,40.7,12.2,3.39,31.8,46.7,16.4
